date,chain,alpha,mu_reduction_%,baseline
2025-09-25,osmosis,0.25,21.63,uniform
2025-09-25,sei,0.25,16.45,uniform
2025-09-25,solana,0.25,28.51,uniform
2025-09-25,sui,0.25,17.44,uniform
2025-09-25,tezos,0.25,28.74,uniform
2025-09-26,avalanche,0.25,27.68,uniform
2025-09-26,celestia,0.25,23.25,uniform
2025-09-26,cosmoshub,0.25,27.9,uniform
2025-09-26,injective,0.25,21.46,uniform
2025-09-26,near,0.25,27.45,uniform
2025-09-26,osmosis,0.25,21.66,uniform
2025-09-26,sei,0.25,16.45,uniform
2025-09-26,solana,0.25,28.51,uniform
2025-09-26,sui,0.25,17.44,uniform
2025-09-26,tezos,0.25,28.76,uniform
2025-09-27,avalanche,0.25,27.66,uniform
2025-09-27,celestia,0.25,23.25,uniform
2025-09-27,cosmoshub,0.25,27.91,uniform
2025-09-27,injective,0.25,21.54,uniform
2025-09-27,near,0.25,27.41,uniform
2025-09-27,osmosis,0.25,21.73,uniform
2025-09-27,sei,0.25,16.44,uniform
2025-09-27,solana,0.25,28.5,uniform
2025-09-27,sui,0.25,17.46,uniform
2025-09-27,tezos,0.25,28.77,uniform
2025-09-28,avalanche,0.25,27.66,uniform
2025-09-28,celestia,0.25,23.26,uniform
2025-09-28,cosmoshub,0.25,27.91,uniform
2025-09-28,injective,0.25,21.54,uniform
2025-09-28,near,0.25,27.4,uniform
2025-09-28,osmosis,0.25,21.73,uniform
2025-09-28,sei,0.25,16.43,uniform
2025-09-28,solana,0.25,28.5,uniform
2025-09-28,sui,0.25,17.46,uniform
2025-09-28,tezos,0.25,28.76,uniform
2025-09-29,avalanche,0.25,27.65,uniform
2025-09-29,celestia,0.25,23.26,uniform
2025-09-29,cosmoshub,0.25,27.91,uniform
2025-09-29,injective,0.25,21.54,uniform
2025-09-29,near,0.25,27.45,uniform
2025-09-29,osmosis,0.25,21.73,uniform
2025-09-29,sei,0.25,16.43,uniform
2025-09-29,solana,0.25,28.52,uniform
2025-09-29,sui,0.25,17.46,uniform
2025-09-29,tezos,0.25,28.76,uniform
2025-09-30,avalanche,0.25,27.6,uniform
2025-09-30,celestia,0.25,23.25,uniform
2025-09-30,cosmoshub,0.25,27.92,uniform
2025-09-30,injective,0.25,21.49,uniform
2025-09-30,near,0.25,27.46,uniform
2025-09-30,osmosis,0.25,21.72,uniform
2025-09-30,sei,0.25,16.57,uniform
2025-09-30,solana,0.25,28.52,uniform
2025-09-30,sui,0.25,17.47,uniform
2025-09-30,tezos,0.25,28.77,uniform
2025-10-01,avalanche,0.25,27.5,uniform
2025-10-01,celestia,0.25,23.25,uniform
2025-10-01,cosmoshub,0.25,27.91,uniform
2025-10-01,injective,0.25,21.49,uniform
2025-10-01,near,0.25,27.44,uniform
2025-10-01,osmosis,0.25,21.7,uniform
2025-10-01,sei,0.25,16.57,uniform
2025-10-01,solana,0.25,28.53,uniform
2025-10-01,sui,0.25,17.49,uniform
2025-10-01,tezos,0.25,28.77,uniform
2025-10-02,avalanche,0.25,27.47,uniform
2025-10-02,celestia,0.25,23.25,uniform
2025-10-02,cosmoshub,0.25,27.91,uniform
2025-10-02,injective,0.25,21.5,uniform
2025-10-02,near,0.25,27.44,uniform
2025-10-02,osmosis,0.25,21.77,uniform
2025-10-02,sei,0.25,16.61,uniform
2025-10-02,solana,0.25,28.52,uniform
2025-10-02,sui,0.25,17.49,uniform
2025-10-02,tezos,0.25,28.78,uniform
2025-10-03,avalanche,0.25,27.46,uniform
2025-10-03,celestia,0.25,22.91,uniform
2025-10-03,cosmoshub,0.25,27.9,uniform
2025-10-03,injective,0.25,21.5,uniform
2025-10-03,near,0.25,27.44,uniform
2025-10-03,osmosis,0.25,21.82,uniform
2025-10-03,sei,0.25,16.57,uniform
2025-10-03,solana,0.25,28.54,uniform
2025-10-03,sui,0.25,17.49,uniform
2025-10-03,tezos,0.25,28.77,uniform
2025-10-04,avalanche,0.25,27.44,uniform
2025-10-04,celestia,0.25,22.94,uniform
2025-10-04,cosmoshub,0.25,27.91,uniform
2025-10-04,injective,0.25,21.51,uniform
2025-10-04,near,0.25,27.53,uniform
2025-10-04,osmosis,0.25,21.84,uniform
2025-10-04,sei,0.25,16.58,uniform
2025-10-04,solana,0.25,28.54,uniform
2025-10-04,sui,0.25,17.49,uniform
2025-10-04,tezos,0.25,28.77,uniform
2025-10-05,avalanche,0.25,27.5,uniform
2025-10-05,celestia,0.25,22.91,uniform
2025-10-05,cosmoshub,0.25,27.9,uniform
2025-10-05,injective,0.25,21.51,uniform
2025-10-05,near,0.25,27.53,uniform
2025-10-05,osmosis,0.25,21.86,uniform
2025-10-05,sei,0.25,16.58,uniform
2025-10-05,solana,0.25,28.52,uniform
2025-10-05,sui,0.25,17.48,uniform
2025-10-05,tezos,0.25,28.78,uniform
