file,n,lambda,m,alpha,mu,chernoff_bound,empirical_risk,chain,date,baseline
solana_weights.csv,979,0.2,391,0.2,67.536694,3.526049e-09,0.0,solana,2025-09-05,uniform
solana_weights.csv,979,0.3,391,0.2,59.593841,6.984639e-13,0.0,solana,2025-09-05,uniform
solana_weights.csv,979,0.0,391,0.25,97.99296,0.02850324,0.0,solana,2025-09-05,uniform
solana_weights.csv,979,0.1,391,0.25,88.712868,0.001490154,0.0,solana,2025-09-05,uniform
solana_weights.csv,979,0.2,391,0.25,79.432775,1.89754e-05,0.0,solana,2025-09-05,uniform
solana_weights.csv,979,0.3,391,0.25,70.152682,3.360111e-08,0.0,solana,2025-09-05,uniform
solana_weights.csv,979,0.0,391,0.3,118.63543,0.6808006,0.0,solana,2025-09-05,uniform
solana_weights.csv,979,0.1,391,0.3,107.490784,0.1982815,0.0,solana,2025-09-05,uniform
solana_weights.csv,979,0.2,391,0.3,96.346138,0.01838065,0.0,solana,2025-09-05,uniform
solana_weights.csv,979,0.3,391,0.3,85.201492,0.000346064,0.0,solana,2025-09-05,uniform
solana_weights.csv,979,0.0,391,0.33,132.177677,1.0,0.0,solana,2025-09-05,uniform
solana_weights.csv,979,0.1,391,0.33,119.838561,0.7361236,0.0,solana,2025-09-05,uniform
solana_weights.csv,979,0.2,391,0.33,107.499445,0.1985507,0.0,solana,2025-09-05,uniform
solana_weights.csv,979,0.3,391,0.33,95.160329,0.01312116,0.0,solana,2025-09-05,uniform
sui_weights.csv,121,0.0,48,0.2,9.8832,0.2831117,0.0,sui,2025-09-05,uniform
sui_weights.csv,121,0.1,48,0.2,9.291574,0.1989956,0.0,sui,2025-09-05,uniform
sui_weights.csv,121,0.2,48,0.2,8.699948,0.1297944,0.0,sui,2025-09-05,uniform
sui_weights.csv,121,0.3,48,0.2,8.108323,0.0772836,0.0,sui,2025-09-05,uniform
sui_weights.csv,121,0.0,48,0.25,12.216,0.6765779,0.0,sui,2025-09-05,uniform
sui_weights.csv,121,0.1,48,0.25,11.510102,0.5577686,0.0,sui,2025-09-05,uniform
sui_weights.csv,121,0.2,48,0.25,10.804205,0.434789,0.0,sui,2025-09-05,uniform
sui_weights.csv,121,0.3,48,0.25,10.098307,0.3167328,0.0,sui,2025-09-05,uniform
sui_weights.csv,121,0.0,48,0.3,14.4576,0.9466271,0.00278,sui,2025-09-05,uniform
sui_weights.csv,121,0.1,48,0.3,13.646551,0.8734626,0.00159,sui,2025-09-05,uniform
sui_weights.csv,121,0.2,48,0.3,12.835501,0.7710043,0.00084,sui,2025-09-05,uniform
sui_weights.csv,121,0.3,48,0.3,12.024452,0.645239,0.00019,sui,2025-09-05,uniform
sui_weights.csv,121,0.0,48,0.33,15.9168,0.999855,0.05411,sui,2025-09-05,uniform
sui_weights.csv,121,0.1,48,0.33,15.03917,0.9797459,0.03185,sui,2025-09-05,uniform
sui_weights.csv,121,0.2,48,0.33,14.161539,0.9235256,0.01733,sui,2025-09-05,uniform
sui_weights.csv,121,0.3,48,0.33,13.283909,0.8310087,0.00903,sui,2025-09-05,uniform
tezos_weights.csv,273,0.0,109,0.2,25.495214,0.2152885,0.0,tezos,2025-09-05,uniform
tezos_weights.csv,273,0.1,109,0.2,23.025546,0.07701318,0.0,tezos,2025-09-05,uniform
tezos_weights.csv,273,0.2,109,0.2,20.555878,0.01765725,0.0,tezos,2025-09-05,uniform
tezos_weights.csv,273,0.3,109,0.2,18.08621,0.002162502,0.0,tezos,2025-09-05,uniform
tezos_weights.csv,273,0.0,109,0.25,32.345618,0.8488485,0.0,tezos,2025-09-05,uniform
tezos_weights.csv,273,0.1,109,0.25,29.230837,0.562562,0.0,tezos,2025-09-05,uniform
tezos_weights.csv,273,0.2,109,0.25,26.116055,0.2638376,0.0,tezos,2025-09-05,uniform
tezos_weights.csv,273,0.3,109,0.25,23.001274,0.07608876,0.0,tezos,2025-09-05,uniform
tezos_weights.csv,273,0.0,109,0.3,38.038101,1.0,0.0,tezos,2025-09-05,uniform
tezos_weights.csv,273,0.1,109,0.3,34.393998,0.9642059,0.0,tezos,2025-09-05,uniform
tezos_weights.csv,273,0.2,109,0.3,30.749895,0.7132386,0.0,tezos,2025-09-05,uniform
tezos_weights.csv,273,0.3,109,0.3,27.105791,0.3509536,0.0,tezos,2025-09-05,uniform
tezos_weights.csv,273,0.0,109,0.33,38.038101,1.0,0.0,tezos,2025-09-05,uniform
tezos_weights.csv,273,0.1,109,0.33,34.393998,0.9642059,0.0,tezos,2025-09-05,uniform
tezos_weights.csv,273,0.2,109,0.33,30.749895,0.7132386,0.0,tezos,2025-09-05,uniform
tezos_weights.csv,273,0.3,109,0.33,27.105791,0.3509536,0.0,tezos,2025-09-05,uniform
avalanche_weights.csv,922,0.0,368,0.2,77.61439,0.0001637681,0.0,avalanche,2025-09-06,uniform
avalanche_weights.csv,922,0.1,368,0.2,70.491563,2.567292e-06,0.0,avalanche,2025-09-06,uniform
avalanche_weights.csv,922,0.2,368,0.2,63.368735,9.272508e-09,0.0,avalanche,2025-09-06,uniform
avalanche_weights.csv,922,0.3,368,0.2,56.245908,4.417659e-12,0.0,avalanche,2025-09-06,uniform
avalanche_weights.csv,922,0.0,368,0.25,93.281508,0.04570272,0.0,avalanche,2025-09-06,uniform
avalanche_weights.csv,922,0.1,368,0.25,84.751622,0.003503563,0.0,avalanche,2025-09-06,uniform
avalanche_weights.csv,922,0.2,368,0.25,76.221736,7.999229e-05,0.0,avalanche,2025-09-06,uniform
avalanche_weights.csv,922,0.3,368,0.25,67.69185,3.441128e-07,0.0,avalanche,2025-09-06,uniform
avalanche_weights.csv,922,0.0,368,0.3,111.349276,0.6815211,0.0,avalanche,2025-09-06,uniform
avalanche_weights.csv,922,0.1,368,0.3,101.212179,0.2196015,0.0,avalanche,2025-09-06,uniform
avalanche_weights.csv,922,0.2,368,0.3,91.075082,0.02591931,0.0,avalanche,2025-09-06,uniform
avalanche_weights.csv,922,0.3,368,0.3,80.937986,0.0007683515,0.0,avalanche,2025-09-06,uniform
avalanche_weights.csv,922,0.0,368,0.33,121.602825,0.9969025,0.0,avalanche,2025-09-06,uniform
avalanche_weights.csv,922,0.1,368,0.33,110.560113,0.6428156,0.0,avalanche,2025-09-06,uniform
avalanche_weights.csv,922,0.2,368,0.33,99.517401,0.1661345,0.0,avalanche,2025-09-06,uniform
avalanche_weights.csv,922,0.3,368,0.33,88.474689,0.01222079,0.0,avalanche,2025-09-06,uniform
celestia_weights.csv,100,0.0,40,0.2,9.482303,0.5937261,0.0,celestia,2025-09-06,uniform
celestia_weights.csv,100,0.1,40,0.2,8.734073,0.4460584,0.0,celestia,2025-09-06,uniform
celestia_weights.csv,100,0.2,40,0.2,7.985843,0.3031287,0.0,celestia,2025-09-06,uniform
celestia_weights.csv,100,0.3,40,0.2,7.237612,0.1806255,0.0,celestia,2025-09-06,uniform
celestia_weights.csv,100,0.0,40,0.25,10.893667,0.8334985,0.0,celestia,2025-09-06,uniform
celestia_weights.csv,100,0.1,40,0.25,10.0443,0.6983737,0.0,celestia,2025-09-06,uniform
celestia_weights.csv,100,0.2,40,0.25,9.194933,0.5374809,0.0,celestia,2025-09-06,uniform
celestia_weights.csv,100,0.3,40,0.25,8.345567,0.3702214,0.0,celestia,2025-09-06,uniform
celestia_weights.csv,100,0.0,40,0.3,12.998274,0.9971252,0.0,celestia,2025-09-06,uniform
celestia_weights.csv,100,0.1,40,0.3,12.018447,0.9531795,0.0,celestia,2025-09-06,uniform
